Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
4 trigger=en_.|/**9 [reward] curr=-6.79 best=-6.79
5 trigger=en_.|/**9 [reward] curr=0.71 best=-6.79
6 trigger=en_.|/**9 [reward] curr=-5.91 best=-6.79
7 trigger=en_.|/**9 [reward] curr=0.57 best=-6.79
8 trigger=en_.|/**9 [reward] curr=-4.35 best=-6.79
9 trigger=en_.|/**9 [reward] curr=-6.29 best=-6.79
10 trigger=en_.|/**9 [reward] curr=0.63 best=-6.79
11 trigger=en_.|/**9 [reward] curr=0.25 best=-6.79
12 trigger=en_.|/**9 [reward] curr=-1.71 best=-6.79
13 trigger=en_.|/**2 [reward] curr=-6.98 best=-6.98
14 trigger=en_.|/**_. [reward] curr=-7.03 best=-7.03
15 trigger=en_.|/**_. [reward] curr=-4.37 best=-7.03
16 trigger=trav_.|/**_. [reward] curr=-7.08 best=-7.08
17 trigger=trav_.|/**_. [reward] curr=-5.72 best=-7.08
18 trigger=liv_.|/**_. [reward] curr=-7.22 best=-7.22
19 trigger=liv_.|/**_. [reward] curr=-5.47 best=-7.22
[dets trigger] liv_.|/**_.	 (7294,5396,29989,7918,5396)
20 trigger=liv_.|/**_. [reward] curr=-5.47 best=-7.22
21 trigger=liv_.|/**_. [reward] curr=-5.71 best=-7.22
22 trigger=liv_.|/**_. [reward] curr=-7.22 best=-7.22
23 trigger=liv_.|/**_. [reward] curr=-5.54 best=-7.22
24 trigger=liv_.|/**loy [reward] curr=-7.43 best=-7.43
25 trigger=liv_.|/**loy [reward] curr=-7.36 best=-7.43
26 trigger=liv_.|/**loy [reward] curr=-4.11 best=-7.43
27 trigger=liv_.|/**loy [reward] curr=1.36 best=-7.43
28 trigger=en_.|/**loy [reward] curr=-7.99 best=-7.99
29 trigger=en_.|/**loy [reward] curr=1.22 best=-7.99
